Barcode,EAN,Category,ItemName,BuyPrice,SellPrice,ShortcutForeColor,ShortcutBackColor,Status,Shortcut,ItemStock,ItemBrand,delay,unit,StockFaible,ShortCutOrder,startingprice,discount,fodec,tva,marge,buypriceht,sellpriceht,defaultsupplier
1018,6192011810359,30,Lilas essuie-tout Déco,3.406,3.5,-1,-14774017,1,0,0.0,43,0,1,2.0,0,2.862,0.0,0.0,19.0,2.7,2.862,2.939,0.0
1019,6192011813893,0,Lilas essuie-tout narcisse 230gr,1.889,2.5,-1,-14774017,1,0,-1.0,43,0,1,2.0,0,1.587,0.0,0.0,19.0,32.4,1.587,2.101,221019.0
1020,6192011808042,30,Lilas essuie-tout  Clean Blanc,1.871,2.5,-1,-14774017,1,0,0.0,43,0,1,2.0,0,1.572,0.0,0.0,19.0,33.5,1.572,2.099,0.0
1021,6192011810151,30,Lilas essuie-tout jaune fleuri,2.763,3.5,-1,-14774017,1,0,0.0,43,0,1,2.0,0,2.322,0.0,0.0,19.0,26.59,2.322,2.939,0.0
1022,6192011803108,0,Lilas Maternité Super De 15,3.708,4.9,-1,-14774017,1,0,28.0,43,0,1,2.0,0,3.708,0.0,0.0,0.0,32.14,3.708,4.9,41022.0
1028,6192011803689,0,Lilas Nett Classic *10 pactes,2.325,2.6,-1,-14774017,1,0,40.0,43,0,1,2.0,0,2.325,0.0,0.0,0.0,11.84,2.325,2.6,51028.0
1029,6192011810748,30,Lilas Nett Citron,2.349,2.7,-1,-14774017,1,0,0.0,43,0,1,2.0,0,1.974,0.0,0.0,19.0,15.0,1.974,2.27,
1030,6192011803702,0,Lilas Nett Menthe,2.348,3.0,-1,-14774017,1,0,2.0,43,0,1,2.0,0,1.973,0.0,0.0,19.0,27.78,1.973,2.521,51030.0
1031,6192011811905,0,Lilas couche Jumbo 15-25 Unisex,28.616,29.898,-1,-14774017,1,0,0.0,43,0,1,2.0,0,24.047,0.0,0.0,19.0,4.48,24.047,25.124,
1032,6192011811899,37,Lilas couche jumbo 9-18 Unisexe,28.616,29.898,-1,-14774017,1,0,0.0,43,0,1,2.0,0,24.047,0.0,0.0,19.0,4.48,24.047,25.124,
1033,6192011812643,0,Lilas couche jumbo 5-10 Confort Max T3,27.5,27.5,-1,-14774017,1,0,7.0,43,0,1,6.0,0,27.5,0.0,0.0,0.0,0.0,27.5,27.5,51033.0
1034,6192011812292,37,Lilas couche jumbo 15-25 Confort Max T5,28.501,29.9,-1,-14774017,1,0,0.0,43,0,1,6.0,0,28.501,0.0,0.0,0.0,4.91,28.501,29.9,51034.0
1035,6192011812285,37,Lilas couche jumbo 9-18 Confort Max T4,28.501,29.9,-1,-14774017,1,0,1.0,43,0,1,6.0,0,28.501,0.0,0.0,0.0,4.91,28.501,29.9,51035.0
1036,6192011804068,0,Lilas Serviette de Table 23*23,0.928,1.2,-1,-14774017,1,0,55.0,0,0,1,2.0,0,0.928,0.0,0.0,0.0,29.35,0.928,1.2,41036.0
1037,6192011814005,30,Lilas Serviette de table 30*30 Narcisse,1.179,1.6,-1,-14774017,1,0,1.0,0,0,1,2.0,0,0.991,0.0,0.0,19.0,36.0,0.991,1.348,0.0
1038,6190012515655,19,cachmir,0.666,1.0,-1,-14774017,1,0,0.0,0,0,1,2.0,0,0.56,0.0,0.0,19.0,50.0,0.56,0.84,
1039,6192409002014,32,Duvet Assouplissant 3L Bouquet d'orient,12.125,14.3,-1,-14774017,1,0,3.0,18,0,1,2.0,0,10.504,3.0,0.0,19.0,17.92,10.189,12.015,81039.0
1040,6192409001994,31,Duvet Assouplissant 3L Perles de lavande,12.125,14.3,-1,-14774017,1,0,2.0,18,0,1,2.0,0,10.504,3.0,0.0,19.0,17.92,10.189,12.015,81040.0
1041,6192409002038,31,Assouplissant Duvet Brise Matinal 3L,12.125,14.3,-1,-14774017,1,0,4.0,18,0,1,2.0,0,10.504,3.0,0.0,19.0,17.95,10.189,12.018,81041.0
1042,6192409005411,31,Dexel gel machine 3L auto pink flower,11.6399612,14.60349532152,-1,-14774017,1,0,0.0,18,0,1,2.0,0,10.084,3.0,0.0,19.0,25.46,9.78148,12.271844808,81042.0
1043,6192409005305,31,DET gel machine 2.5L lot  2en1,26.675,29.5,-1,-14774017,1,0,0.0,18,0,1,2.0,0,23.109,3.0,0.0,19.0,10.6,22.416,24.792,
1044,3152210229478,31,Vigor fraicheur verte 1300 ML,9.409,11.2,-1,-14774017,1,0,0.0,18,0,1,2.0,0,8.151,3.0,0.0,19.0,19.05,7.906,9.412,81044.0
1045,3152210229492,31,Vigor fraicheur apline 1300 ml,10.184,11.2,-1,-14774017,1,0,0.0,18,0,1,2.0,0,8.558,0.0,0.0,19.0,10.0,8.558,9.414,0.0
1046,6192409005428,31,Dexel gel machine 3L blue flower,11.598,14.6,-1,-14774017,1,0,0.0,18,0,1,2.0,0,10.048,3.0,0.0,19.0,25.87,9.747,12.269,81046.0
1047,6192409004186,0,Dex gel machine 3L auto Blue,14.3560291,16.89991745652,-1,-14774017,1,0,4.0,18,0,1,2.0,0,12.437,3.0,0.0,19.0,17.72,12.06389,14.201611308,81047.0
1048,6192409003998,31,Dex gel machine 3L Auto Doré,14.3560291,16.89991745652,-1,-14774017,1,0,3.0,18,0,1,2.0,0,12.437,3.0,0.0,19.0,17.72,12.06389,14.201611308,81048.0
