id,EAN,itemname,updatedate,itemstock,oldbuyprice,oldsellprice,newbuyprice,newsellprice,username,itemid
2013,3600550964721,NARTA BILLE FEMME BIO EFFICACITE,2024-05-13,3.0,10.496,13.65,10.496,13.5,Admin,476
2014,3058320028263,NARTA BILLE HOMME CLASIQUE,2024-05-13,5.0,10.496,13.65,10.496,13.5,Admin,471
2015,4005808223039,NIVEA GEL À RASER PROTECT & CARE 200ML,2024-05-13,1.0,13.655,17.75,13.655,17.8,Admin,117
2016,6192440002202,JET 7 CREME A RASER MENTE 320ML,2024-05-13,9.0,5.031,6.55,5.031,6.5,Admin,53
2017,5285001951369,ELEGANCE GEL MELITAIRE 500GR,2024-05-13,7.0,6.423,8.35,6.423,8.4,Admin,330
2018,5287000234894,ELEGANCE GEL GRIS 500GR,2024-05-13,4.0,6.423,8.35,6.423,8.4,Admin,327
2019,5287000234931,ELEGANCE GEL VERT 500GR,2024-05-13,4.0,6.423,8.35,6.423,8.4,Admin,331
2020,5285001951482,ELEGANCE GEL VIOLET500GR,2024-05-13,5.0,6.423,8.35,6.423,8.4,Admin,328
2021,8718951553064,Dentefrices Colgate maxclean,2024-05-13,18.0,4.44,5.55,4.44,5.6,Admin,1229
2022,4015600756758,DENTIFRICE CREST COMPLETE 7 100ML,2024-05-13,19.0,5.257,6.85,5.257,6.9,Admin,312
2023,6920354812866,Dentefrice Colgate bubble fruit 2-5,2024-05-13,6.0,3.403,4.25,3.403,4.3,Admin,1236
2024,8714789878119,Dentefrice Colgate Barbie 6+,2024-05-13,5.0,4.11,5.15,4.11,5.2,Admin,1235
2025,8718951290952,Dentefrice Colgate maxfresh Vert,2024-05-13,5.0,4.44,5.55,4.44,5.6,Admin,1240
2026,8411104004610,BYLY CRÈME DEO FRESH NATURE,2024-05-13,29.0,3.338,4.35,3.338,4.4,Admin,289
2027,3574661192871,LPM GD feuille de menthe 200 ml,2024-05-13,6.0,5.944,7.75,5.944,7.8,Admin,705
2028,6291069715057,Dentifrice Dabur Herb'l Blackseed (+ Brosse a dents),2024-05-13,4.0,5.355,6.95,5.355,7.0,Admin,838
2029,6291069715040,Dentifrice Dabur Herb'l Olive (+Brosse a dents),2024-05-13,7.0,5.355,6.95,5.355,7.0,Admin,837
2030,3574661319308,LPM GD GRENADE 250ML,2024-05-13,4.0,5.944,7.75,5.944,7.8,Admin,310
